City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
99,Port Alfred,81,ZA,2022-07-24 14:02:57,86,-33.5906,26.891,58.17,4.0
100,Bundaberg,1,AU,2022-07-24 14:02:58,98,-24.85,152.35,55.22,1.01
101,Sinjai,43,ID,2022-07-24 14:02:58,86,-5.1241,120.253,71.44,4.05
102,Hamilton,100,US,2022-07-24 13:58:26,75,39.1834,-84.5333,85.59,1.99
103,Tuktoyaktuk,100,CA,2022-07-24 14:02:59,94,69.4541,-133.0374,38.64,9.42
104,Sioux Lookout,100,CA,2022-07-24 14:02:59,87,50.1001,-91.917,51.87,9.22
105,Lufkin,0,US,2022-07-24 14:03:00,86,31.3382,-94.7291,83.32,6.91
106,Guerrero Negro,100,MX,2022-07-24 14:03:00,80,27.9769,-114.0611,67.37,6.69
107,Komsomolskiy,6,UZ,2022-07-24 14:03:01,11,40.4272,71.7189,104.72,9.22
108,Qaanaaq,100,GL,2022-07-24 14:03:01,94,77.484,-69.3632,38.79,1.68
109,Lima,100,PE,2022-07-24 13:59:08,78,-12.0432,-77.0282,65.89,9.22
110,Cabo San Lucas,83,MX,2022-07-24 13:59:45,90,22.8909,-109.9124,80.51,3.74
111,Severo-Kurilsk,100,RU,2022-07-24 14:03:02,95,50.6789,156.125,52.7,9.37
112,Half Moon Bay,100,US,2022-07-24 14:03:03,90,37.4636,-122.4286,58.87,9.22
113,Brunico,52,IT,2022-07-24 14:03:03,40,46.7958,11.9364,87.12,1.12
114,Aleksandrovka,4,UA,2022-07-24 14:03:04,18,46.8383,32.7612,93.18,5.41
115,Homer,100,US,2022-07-24 14:03:04,83,59.6425,-151.5483,53.04,4.0
116,Mount Gambier,100,AU,2022-07-24 14:03:05,76,-37.8333,140.7667,55.89,11.12
117,Pevek,100,RU,2022-07-24 14:03:05,88,69.7008,170.3133,36.43,3.24
118,Hithadhoo,97,MV,2022-07-24 14:03:06,71,-0.6,73.0833,82.45,5.99
119,Isangel,1,VU,2022-07-24 14:03:06,88,-19.55,169.2667,76.19,4.81
120,Isiro,100,CD,2022-07-24 14:03:06,70,2.7739,27.616,78.08,1.86
121,Anloga,70,GH,2022-07-24 14:03:07,76,5.7947,0.8973,78.44,12.66
122,Esperance,92,AU,2022-07-24 14:03:08,63,-33.8667,121.9,49.84,12.03
123,El Alto,14,PE,2022-07-24 14:03:08,70,-4.2714,-81.2147,69.13,9.93
124,Dollar,84,GB,2022-07-24 14:03:09,92,56.1624,-3.6714,72.5,14.47
125,Riyadh,100,SA,2022-07-24 14:00:12,8,24.6877,46.7219,110.93,5.95
126,Atar,11,MR,2022-07-24 14:03:09,33,20.5169,-13.0499,97.75,7.2
127,Manbij,0,SY,2022-07-24 14:03:10,8,36.5281,37.9549,98.13,18.81
128,Ponta Do Sol,4,PT,2022-07-24 14:04:10,44,32.6667,-17.1,94.71,1.81
129,Puerto Quijarro,1,BO,2022-07-24 14:04:11,23,-17.7833,-57.7667,90.86,4.5
130,Barrow,100,US,2022-07-24 14:04:11,93,71.2906,-156.7887,37.42,0.0
131,Port Hueneme,100,US,2022-07-24 14:04:11,91,34.1478,-119.1951,65.95,4.61
132,Mataura,16,NZ,2022-07-24 14:04:12,98,-46.1927,168.8643,37.47,2.17
133,Le Port,53,RE,2022-07-24 14:04:12,68,-20.9373,55.2919,73.4,4.45
134,Vao,36,NC,2022-07-24 14:04:13,79,-22.6667,167.4833,72.54,12.62
135,Carnarvon,0,AU,2022-07-24 14:04:13,40,-24.8667,113.6333,63.28,16.11
136,Upernavik,100,GL,2022-07-24 14:04:14,93,72.7868,-56.1549,42.37,2.64
137,Knyaginino,69,RU,2022-07-24 14:04:14,67,55.8228,45.0349,77.31,3.53
138,Kavaratti,96,IN,2022-07-24 14:04:14,78,10.5669,72.642,81.46,12.68
139,Mackenzie,100,CA,2022-07-24 14:03:33,74,55.2999,-123.1698,57.79,2.66
140,Ilulissat,20,GL,2022-07-24 14:04:15,97,69.2167,-51.1,44.62,5.75
141,Brokopondo,100,SR,2022-07-24 14:04:16,79,4.75,-55.1667,80.37,5.21
142,Sao Filipe,96,CV,2022-07-24 14:04:16,81,14.8961,-24.4956,78.67,0.78
143,Takoradi,88,GH,2022-07-24 14:04:16,71,4.8845,-1.7554,78.64,10.78
144,Avarua,75,CK,2022-07-24 14:04:17,60,-21.2078,-159.775,69.85,3.44
145,Zhuhai,0,CN,2022-07-24 14:04:17,79,22.2769,113.5678,89.38,11.5
146,Tsogni,62,GA,2022-07-24 14:04:18,66,-2.7942,10.0988,76.55,11.25
147,Mandalgovi,48,MN,2022-07-24 14:04:18,39,45.7625,106.2708,66.18,13.13
148,Nanortalik,100,GL,2022-07-24 14:04:18,75,60.1432,-45.2371,48.04,5.12
149,Cidreira,74,BR,2022-07-24 14:04:19,88,-30.1811,-50.2056,66.79,3.18
150,Georgetown,20,MY,2022-07-24 14:04:19,79,5.4112,100.3354,84.13,0.0
