City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Cidreira,BR,-30.1811,-50.2056,61.41,93,15,14.14,few clouds
80,Port Hardy,CA,50.6996,-127.4199,75.38,64,0,8.05,clear sky
81,Saint George,US,37.1041,-113.5841,96.8,30,0,5.99,clear sky
82,Leningradskiy,RU,69.3833,178.4167,35.69,94,100,5.84,overcast clouds
83,Yeppoon,AU,-23.1333,150.7333,64.18,42,0,10.22,clear sky
84,Balkhash,KZ,46.844,74.9804,73.8,46,0,7.58,clear sky
85,Vredendal,ZA,-31.6683,18.5012,56.93,80,99,2.73,overcast clouds
86,Khatanga,RU,71.9667,102.5,75.22,44,100,8.34,overcast clouds
87,Alihe,CN,50.5667,123.7167,71.46,87,100,4.16,light rain
88,Daru,PG,-9.0763,143.2092,78.87,79,78,14.47,broken clouds
89,Vitim,RU,59.4511,112.5578,65.44,76,45,5.88,scattered clouds
90,Carnarvon,AU,-24.8667,113.6333,65.61,37,100,6.02,overcast clouds
91,Chuy,UY,-33.6971,-53.4616,58.91,96,25,6.17,scattered clouds
92,Te Anau,NZ,-45.4167,167.7167,43.43,95,100,2.84,overcast clouds
93,Lebu,CL,-37.6167,-73.65,51.28,85,43,14.34,scattered clouds
94,San Cristobal,VE,7.7669,-72.225,71.78,96,97,2.26,overcast clouds
95,Sitka,US,57.0531,-135.33,62.49,82,100,4.61,overcast clouds
96,Manjacaze,MZ,-24.7117,33.8828,55.56,84,0,4.9,clear sky
97,Norman Wells,CA,65.282,-126.8329,57.24,94,100,17.27,light intensity shower rain
98,Kenai,US,60.5544,-151.2583,65.03,61,0,17.27,clear sky
99,Roebourne,AU,-20.7833,117.1333,72.48,29,6,14.23,clear sky
100,Shelburne,CA,44.0787,-80.2041,68.79,62,8,2.04,clear sky
101,North Bend,US,43.4065,-124.2243,77.23,83,0,10.36,clear sky
102,Roshchino,RU,60.2519,29.6085,62.31,94,100,5.73,overcast clouds
103,Bredasdorp,ZA,-34.5322,20.0403,49.55,94,8,5.64,clear sky
104,Ponta Do Sol,PT,32.6667,-17.1,75.83,59,0,5.86,clear sky
105,Georgetown,MY,5.4112,100.3354,82.89,90,20,2.3,few clouds
106,Awbari,LY,26.5921,12.7805,79.09,18,0,7.36,clear sky
107,Louga,RU,58.7372,29.8453,60.19,92,100,4.38,overcast clouds
108,Usinsk,RU,65.9939,57.5281,51.06,78,52,5.93,broken clouds
109,Tazovskiy,RU,67.4667,78.7,49.87,78,9,7.14,clear sky
110,Beaufort,MY,5.3473,115.7455,82.06,71,100,2.21,overcast clouds
111,Batagay-Alyta,RU,67.8006,130.4114,73.98,50,100,2.1,overcast clouds
112,San Jose,US,37.3394,-121.895,85.84,51,75,14.97,smoke
113,Sabang,ID,5.8933,95.3214,80.67,76,100,5.14,overcast clouds
114,Souillac,MU,-20.5167,57.5167,66.58,94,75,3.44,broken clouds
115,Denpasar,ID,-8.65,115.2167,78.46,88,40,10.36,scattered clouds
116,Asfi,MA,32.2994,-9.2372,73.04,78,1,15.23,clear sky
