City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
606,Sobolevo,RU,60.26,clear sky,54.4299,31.8996,
607,Kurilsk,RU,65.35,scattered clouds,45.2333,147.8833,Hotel Ostrov
608,Yantal,RU,62.1,overcast clouds,56.8471,105.2542,
610,Alta Gracia,AR,62.89,overcast clouds,-31.6529,-64.4283,Hotel Ritz
613,Venado Tuerto,AR,63.77,broken clouds,-33.7456,-61.9688,La Bianca.
615,Broome,US,69.66,clear sky,42.2506,-75.833,Chenango Valley State Park
616,Vengerovo,RU,66.69,overcast clouds,55.6848,76.7471,Gostinitsa
619,Kenora,CA,68.97,broken clouds,49.8167,-94.4337,Maynard Lake Lodge
621,Benguela,AO,67.21,clear sky,-12.5763,13.4055,Hotel Praia Morena
622,Hlobyne,UA,61.11,clear sky,49.3878,33.2596,Versalʹskyy Dvoryk
626,Bria,CF,69.42,light rain,6.5423,21.9863,WFP Guesthouse
635,Rocha,UY,60.69,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
638,Ostrovnoy,RU,60.4,overcast clouds,68.0531,39.5131,
641,Kamenka,RU,62.74,clear sky,51.3223,42.7678,
643,Pimentel,PE,62.56,overcast clouds,-6.8367,-79.9342,Hotel Puerto del Sol
644,Ayagoz,KZ,69.26,overcast clouds,47.9714,80.4392,ХАН
645,Stirion,GR,69.71,clear sky,38.4,22.7167,Asteria Rooms & Restaurant Cafe
651,Kyenjojo,UG,66.85,overcast clouds,0.6328,30.6214,"Rainbow Guest House, Kyenjonjo"
652,Mount Isa,AU,64.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
655,Solnechnyy,RU,66.88,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
661,Tigil,RU,67.71,broken clouds,57.8,158.6667,Tigil'
667,Kletskaya,RU,66.61,clear sky,49.3145,43.0584,
675,Darhan,MN,61.56,light rain,49.4867,105.9228,Buudai Hotel
676,Lyubinskiy,RU,67.68,overcast clouds,55.1542,72.6925,На «70 Лет Октября»
